,true,pred
0,0,0
1,0,0
2,0,0
3,0,0
4,0,2
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,3
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,2
25,0,0
26,0,2
27,0,0
28,0,3
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,3
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,2
43,0,0
44,0,0
45,0,0
46,0,3
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,3
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,2
63,0,0
64,0,0
65,0,0
66,0,2
67,0,0
68,0,0
69,0,3
70,0,0
71,0,0
72,0,0
73,0,3
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,1,1
81,1,1
82,1,1
83,1,1
84,1,0
85,1,3
86,1,3
87,1,1
88,1,3
89,1,1
90,1,1
91,1,1
92,1,1
93,1,1
94,1,3
95,1,1
96,1,1
97,1,1
98,1,2
99,1,3
100,1,1
101,1,1
102,1,1
103,1,1
104,1,1
105,1,2
106,1,1
107,1,1
108,1,1
109,1,1
110,1,1
111,1,1
112,1,3
113,1,1
114,1,1
115,1,2
116,1,1
117,1,1
118,1,1
119,1,1
120,1,2
121,1,3
122,1,1
123,1,0
124,2,0
125,2,2
126,2,1
127,2,3
128,2,3
129,2,3
130,2,0
131,2,3
132,2,3
133,2,0
134,2,3
135,2,3
136,2,0
137,2,2
138,2,2
139,2,3
140,2,3
141,2,2
142,2,3
143,2,2
144,2,0
145,2,3
146,2,3
147,2,0
148,3,3
149,3,2
150,3,3
151,3,3
152,3,3
153,3,3
154,3,3
155,3,3
156,3,3
157,3,3
158,3,3
159,3,3
160,3,3
161,3,3
162,3,3
163,3,3
164,3,3
165,3,3
166,3,0
167,3,3
168,3,3
169,3,3
170,3,3
171,3,0
172,3,3
173,3,3
174,3,3
175,3,3
176,3,3
177,3,3
178,3,0
179,3,3
180,3,3
181,3,3
182,3,3
183,3,3
184,3,3
185,3,3
186,3,3
187,3,3
188,3,0
189,3,3
190,3,3
191,3,3
192,3,0
193,3,3
194,3,3
195,3,1
196,3,3
197,3,3
198,3,3
199,3,3
200,3,3
201,3,3
202,3,3
203,3,0
204,3,3
205,3,3
206,3,3
207,3,2
208,3,0
209,3,0
210,3,2
211,3,2
212,3,3
213,3,3
214,3,3
215,3,0
216,3,2
217,3,3
218,3,3
219,3,3
220,3,3
221,3,3
222,3,3
223,3,3
224,3,0
225,3,3
226,3,2
227,3,3
228,3,3
229,3,3
230,3,3
231,3,3
232,3,3
233,3,3
234,3,3
235,3,3
236,3,3
237,3,3
238,3,3
239,3,3
240,3,3
241,3,3
242,3,2
243,3,3
244,3,3
245,3,3
246,3,3
247,3,2
248,3,3
249,3,3
250,3,0
251,3,3
252,3,0
253,3,3
254,3,3
255,3,3
256,3,3
257,3,3
258,3,3
259,3,2
260,3,3
261,3,3
262,3,3
263,3,3
264,3,3
265,3,3
266,3,3
267,3,0
268,3,2
269,3,3
270,3,3
271,3,3
272,3,2
273,3,3
274,3,3
275,3,3
276,3,2
277,3,1
278,3,3
279,3,0
280,3,3
281,0,0
282,1,0
283,0,0
284,0,3
285,1,3
286,0,1
287,0,0
288,1,1
289,0,0
290,0,0
291,1,2
292,0,0
293,0,0
294,0,1
295,0,0
296,3,3
297,3,1
298,3,3
299,3,3
300,3,3
301,1,3
302,3,0
303,1,1
304,1,3
305,1,3
306,3,3
307,1,1
308,3,0
309,1,0
310,1,3
