,true,pred
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,3
8,0,0
9,0,3
10,0,3
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,2
23,0,0
24,0,3
25,0,0
26,0,3
27,0,0
28,0,3
29,0,3
30,0,0
31,0,3
32,0,1
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,3
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,3
54,0,3
55,0,0
56,0,0
57,0,0
58,0,0
59,0,3
60,0,0
61,0,0
62,0,1
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,2
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,3
76,0,0
77,0,3
78,0,3
79,0,0
80,0,1
81,1,1
82,1,1
83,1,1
84,1,3
85,1,1
86,1,1
87,1,1
88,1,1
89,1,1
90,1,1
91,1,1
92,1,1
93,1,1
94,1,1
95,1,1
96,1,1
97,1,1
98,1,1
99,1,1
100,1,0
101,1,1
102,1,1
103,1,0
104,1,1
105,1,1
106,1,1
107,1,1
108,1,1
109,1,1
110,1,1
111,1,1
112,1,1
113,1,3
114,1,2
115,1,3
116,1,2
117,1,1
118,1,1
119,2,0
120,2,0
121,2,2
122,2,1
123,2,0
124,2,0
125,2,0
126,2,2
127,2,2
128,2,3
129,2,0
130,2,3
131,2,0
132,2,1
133,2,0
134,2,3
135,2,2
136,2,3
137,2,3
138,2,3
139,2,0
140,2,0
141,2,1
142,2,0
143,2,1
144,2,3
145,2,2
146,2,3
147,3,3
148,3,0
149,3,3
150,3,3
151,3,3
152,3,3
153,3,3
154,3,2
155,3,0
156,3,3
157,3,3
158,3,3
159,3,3
160,3,3
161,3,3
162,3,3
163,3,3
164,3,3
165,3,3
166,3,3
167,3,1
168,3,3
169,3,3
170,3,3
171,3,0
172,3,1
173,3,3
174,3,1
175,3,3
176,3,3
177,3,0
178,3,3
179,3,3
180,3,3
181,3,2
182,3,3
183,3,3
184,3,2
185,3,3
186,3,0
187,3,3
188,3,3
189,3,3
190,3,3
191,3,3
192,3,0
193,3,3
194,3,3
195,3,3
196,3,3
197,3,3
198,3,3
199,3,3
200,3,3
201,3,3
202,3,3
203,3,1
204,3,3
205,3,3
206,3,3
207,3,2
208,3,3
209,3,3
210,3,0
211,3,3
212,3,2
213,3,1
214,3,3
215,3,3
216,3,3
217,3,3
218,3,3
219,3,3
220,3,2
221,3,3
222,3,3
223,3,3
224,3,3
225,3,3
226,3,3
227,3,3
228,3,3
229,3,3
230,3,3
231,3,3
232,3,3
233,3,3
234,3,1
235,3,1
236,3,0
237,3,3
238,3,3
239,3,3
240,3,3
241,3,3
242,3,3
243,3,3
244,3,3
245,3,0
246,3,3
247,3,3
248,3,3
249,3,3
250,3,3
251,3,2
252,3,3
253,3,0
254,3,3
255,3,3
256,3,3
257,3,2
258,3,3
259,3,3
260,3,3
261,3,3
262,3,3
263,3,3
264,3,0
265,3,3
266,3,3
267,3,3
268,3,2
269,3,3
270,3,3
271,3,3
272,3,3
273,3,3
274,3,3
275,3,3
276,3,3
277,3,3
278,3,3
279,0,0
280,0,3
281,1,0
282,1,3
283,0,0
284,0,0
285,0,0
286,1,0
287,1,3
288,1,1
289,1,1
290,0,0
291,3,3
292,3,0
293,1,1
294,3,3
295,3,3
296,3,3
297,3,0
298,3,3
299,3,3
300,3,3
301,3,3
302,3,3
303,3,3
304,0,0
305,1,3
306,1,0
307,3,0
308,1,1
309,3,3
310,3,0
311,3,0
